date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:47	92/92	---M-Z	200	added ('OK')	text/plain	date:Mon,%2016%20Feb%202026%2013:30:38%20GMT	https://quanticalabs.com/robots.txt		(from )
11:24:48	25713/25713	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202026%2005:24:48%20GMT	https://quanticalabs.com/GymBase/Template/?page=home	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/index9ba3.html	(from )
11:24:48	894/894	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Sep%202012%2005:40:04%20GMT	https://quanticalabs.com/GymBase/Template/style/reset.css	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/style/reset.css	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:48	3096/3096	---M-Z	200	added ('OK')	text/css	date:Fri,%2023%20Jul%202021%2013:50:31%20GMT	https://quanticalabs.com/GymBase/Template/style/superfish.css	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/style/superfish.css	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:49	8852/8852	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Sep%202012%2005:40:28%20GMT	https://quanticalabs.com/GymBase/Template/style/fancybox/jquery.fancybox.css	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/style/fancybox/jquery.fancybox.css	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:49	13298/13298	---M-Z	200	added ('OK')	text/css	date:Fri,%2023%20Jul%202021%2013:49:40%20GMT	https://quanticalabs.com/GymBase/Template/style/jquery.qtip.css	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/style/jquery.qtip.css	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:49	32557/32557	---M-Z	200	added ('OK')	text/css	date:Fri,%2023%20Jul%202021%2013:50:18%20GMT	https://quanticalabs.com/GymBase/Template/style/style.css	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/style/style.css	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:49	14343/14343	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Sep%202014%2008:31:29%20GMT	https://quanticalabs.com/GymBase/Template/style/responsive.css	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/style/responsive.css	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:49	1217/1217	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Jul%202026%2011:55:56%20GMT	https://quanticalabs.com/ql_bar/style/style.css	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/ql_bar/style/style.css	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:49	1953/1953	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Jul%202026%2009:24:27%20GMT	https://quanticalabs.com/ql_bar/style/qpurchase.css	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/ql_bar/style/qpurchase.css	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:50	1466/1466	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Sep%202012%2005:36:01%20GMT	https://quanticalabs.com/GymBase/Template/images/header_logo.png	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/images/header_logo.png	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:50	309090/309090	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202012%2005:38:35%20GMT	https://quanticalabs.com/GymBase/Template/images/slider/img1.jpg	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/images/slider/img1.jpg	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:51	401574/401574	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202012%2005:38:45%20GMT	https://quanticalabs.com/GymBase/Template/images/slider/img2.jpg	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/images/slider/img2.jpg	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:51	324277/324277	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202012%2005:38:52%20GMT	https://quanticalabs.com/GymBase/Template/images/slider/img3.jpg	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/images/slider/img3.jpg	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:51	72388/72388	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202012%2005:36:45%20GMT	https://quanticalabs.com/GymBase/Template/images/samples/blog_img3.jpg	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/images/samples/blog_img3.jpg	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:51	24424/24424	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202026%2005:24:51%20GMT	https://quanticalabs.com/GymBase/Template/?page=post	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/indexb878.html	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:51	24602/24602	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202026%2005:24:52%20GMT	https://quanticalabs.com/GymBase/Template/?page=blog	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/indexf6f2.html	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:51	6950/6950	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202012%2005:36:46%20GMT	https://quanticalabs.com/GymBase/Template/images/samples/classes_thumb1.jpg	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/images/samples/classes_thumb1.jpg	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:51	39021/39021	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202026%2005:24:52%20GMT	https://quanticalabs.com/GymBase/Template/?page=classes	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/indexdd3d.html	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:51	10794/10794	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202012%2005:36:47%20GMT	https://quanticalabs.com/GymBase/Template/images/samples/classes_thumb2.jpg	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/images/samples/classes_thumb2.jpg	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:52	11585/11585	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202012%2005:36:48%20GMT	https://quanticalabs.com/GymBase/Template/images/samples/classes_thumb3.jpg	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/images/samples/classes_thumb3.jpg	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:52	8806/8806	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202012%2005:36:49%20GMT	https://quanticalabs.com/GymBase/Template/images/samples/classes_thumb4.jpg	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/images/samples/classes_thumb4.jpg	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:52	8034/8034	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Sep%202012%2005:36:50%20GMT	https://quanticalabs.com/GymBase/Template/images/samples/classes_thumb5.jpg	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/images/samples/classes_thumb5.jpg	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:52	67113/67113	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202026%2005:24:53%20GMT	https://quanticalabs.com/GymBase/Template/?page=timetable	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/indexf608.html	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:52	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Jul%202026%2005:24:53%20GMT	https://quanticalabs.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:53	89501/89501	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:24%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery-3.6.0.min.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery-3.6.0.min.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:53	4673/4673	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:11%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery.ba-bbq.min.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery.ba-bbq.min.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:53	39921/39921	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202026%2005:24:54%20GMT	https://quanticalabs.com/GymBase/Template/?page=gallery	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/indexd590.html	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:53	29213/29213	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:25%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery-ui-1.12.1.custom.min.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery-ui-1.12.1.custom.min.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:53	2532/2532	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:17%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery.easing.1.4.1.min.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery.easing.1.4.1.min.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:54	36033/36033	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:15%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery.carouFredSel-6.2.1-packed.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery.carouFredSel-6.2.1-packed.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:55	25704/25704	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202026%2005:24:55%20GMT	https://quanticalabs.com/GymBase/Template/?page=contact	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/index53a6.html	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:55	7399/7399	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:22%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery.timeago.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery.timeago.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:55	816/816	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:19%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery.hint.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery.hint.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:55	39978/39978	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:20%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery.isotope.min.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery.isotope.min.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:55	29756/29756	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:18%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery.fancybox.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery.fancybox.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:55	44307/44307	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:21%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery.qtip.min.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery.qtip.min.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
11:24:56	19969/19969	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2023%20Jul%202021%2013:47:12%20GMT	https://quanticalabs.com/GymBase/Template/js/jquery.blockUI.js	C:/Users/HP/Desktop/portfolio/Gym%20&%20Fitness/quanticalabs.com/GymBase/Template/js/jquery.blockUI.js	(from https://quanticalabs.com/GymBase/Template/?page=home)
